ID,Title,Description,URL,Format,Tags,Tone,Audience,Source,Language
11,NIMH Depression Information,Comprehensive resource covering all aspects of depression including types symptoms treatments and living with the condition.,https://www.nimh.nih.gov/health/topics/depression,Article,depression|treatment|symptoms|support,informative,all,NIMH,English
12,I'm So Stressed Out! Fact Sheet,NIMH fact sheet explaining stress its effects on mental and physical health and practical coping strategies.,https://www.nimh.nih.gov/health/publications/so-stressed-out-fact-sheet,Guide,stress|coping|mental-health|wellness,informative,students,NIMH,English
13,Managing Stress - CDC Guide,CDC guide to understanding and managing stress with evidence-based strategies for daily life.,https://www.cdc.gov/mental-health/living-with/index.html,Guide,stress|management|coping|health,informative,all,CDC,English
14,Coping With Stress and Anxiety Infographic,Visual social media graphic providing quick tips for managing stress and anxiety effectively.,https://www.nimh.nih.gov/sites/default/files/documents/health/publications/so-stressed-out-fact-sheet/Im-So-Stressed-Out.pdf,Guide,stress|anxiety|coping|tips,supportive,all,NIMH,English
15,NIMH GREAT Method for Coping,Helpful practices framework (GREAT Method) designed to manage stress and anxiety in daily situations.,https://calyouth.org/nimhs-great-method-of-coping-with-stress-and-anxiety/,Article,stress|anxiety|coping|techniques,supportive,young_adults,NIMH,English
16,Guided Visualization: Dealing with Stress (Video),Video guide demonstrating visualization and relaxation techniques for stress management.,https://www.nimh.nih.gov/news/media/2021/guided-visualization-dealing-with-stress,Video,stress|relaxation|visualization|meditation,calm,all,NIMH,English
17,Caring for Your Mental Health,NIMH comprehensive guide to mental health self-care practices and maintaining emotional wellbeing.,https://www.nimh.nih.gov/health/topics/caring-for-your-mental-health,Article,mental-health|self-care|wellness|wellbeing,supportive,all,NIMH,English
18,NIMH Anxiety Disorders Information,Detailed information about various anxiety disorders their symptoms and evidence-based treatment approaches.,https://www.nimh.nih.gov/health/topics/anxiety-disorders,Article,anxiety|disorders|treatment|symptoms,informative,all,NIMH,English
22,Mindfulness App Resources,Comprehensive exercises and activities for developing mindfulness practices and reducing anxiety.,https://www.headspace.com/mindfulness,Article,mindfulness|meditation|anxiety|relaxation,calm,all,Headspace,English
23,988 Suicide & Crisis Lifeline,Free 24/7 suicide prevention and mental health crisis support hotline available throughout the United States.,https://988lifeline.org/,Helpline,crisis|suicide|support|emergency,urgent,all,SAMHSA,English
24,SAMHSA National Helpline,Free confidential 24/7 treatment referral and information service for mental health and substance use disorders.,https://www.samhsa.gov/find-help/national-helpline,Helpline,crisis|support|treatment|referral,supportive,all,SAMHSA,English
25,Crisis Text Line,Free 24/7 crisis support via text message connecting people in crisis with trained counselors.,https://www.crisistextline.org/,Helpline,crisis|support|text|counseling,supportive,all,Crisis Text Line,English
37,Befrienders Kuala Lumpur Helpline,Malaysian 24/7 emotional support and suicide prevention helpline providing confidential listening services.,https://www.befrienders.org.my/,Helpline,crisis|suicide|support|malaysia,urgent,all,Befrienders KL,English
38,Talian HEAL 15555 Crisis Helpline,Malaysian mental health crisis helpline offering free professional tele-counseling services nationwide.,https://sites.google.com/moh.gov.my/ncemh,Helpline,crisis|counseling|malaysia|support,urgent,all,MOH Malaysia,English
39,Talian Kasih 15999 Hotline,Malaysian 24/7 support helpline for welfare concerns abuse and counseling services.,https://www.kpwkm.gov.my/portal-main/article?id=talian-kasih,Helpline,crisis|support|counseling|malaysia,urgent,all,KPWKM,Malay
40,MIASA Crisis Helpline Malaysia,Malaysian mental health crisis helpline providing free confidential support by phone 24/7.,https://miasa.org.my/,Helpline,crisis|support|malaysia|counseling,urgent,all,MIASA Malaysia,English
42,MMHA Mental Health First Aid Training,Evidence-based mental health first aid training courses for adults and adolescents in Malaysia.,https://mmha.org.my/education-training/mhfa-courses,Guide,training|first-aid|mental-health|malaysia,informative,all,MMHA,English
45,PT Foundation Peer Listening Helpline,Malaysian peer listening service providing safe supportive space for mental health and HIV-related concerns.,https://www.facebook.com/ptfmalaysia/,Helpline,support|peer-listening|malaysia|lgbtq,supportive,all,PT Foundation,English
48,IMU Mental Health Careline,24/7 mental health support specifically for IMU university students in Malaysia.,https://www.imu.edu.my/support-services/student-counselling-services/contact-us/,Helpline,crisis|students|university|malaysia,urgent,students,IMU University,English
49,Understanding Youth Depression,Educational guide about recognizing symptoms causes and treatment of depression in teenagers.,https://www.moh.gov.my/,Article,depression|youth|symptoms|education,informative,young_adults,MOH Malaysia,English
50,Recognizing Anxiety in Teenagers,Parent and teacher guide to identifying anxiety symptoms in youth and supporting their mental health.,https://www.moh.gov.my/,Article,anxiety|youth|symptoms|education,informative,young_adults,MOH Malaysia,English
51,Exam Stress and Anxiety Management,Resources specifically addressing academic stress and anxiety during examination periods for students.,https://www.moh.gov.my/,Article,stress|anxiety|students|exams,supportive,students,KKM,Malay
52,Cyberbullying and Mental Health Impact,Article examining how cyberbullying affects youth mental health with coping strategies and resources.,https://www.unicef.org/malaysia/,Article,bullying|depression|youth|digital,urgent,young_adults,UNICEF Malaysia,English
53,Social Media and Mental Health Guide,Youth guide to maintaining healthy social media habits and protecting mental wellbeing online.,https://www.unicef.org/malaysia/,Article,social-media|anxiety|youth|digital-wellbeing,informative,young_adults,UNICEF Malaysia,English
54,Self-Esteem Building for Teens,Resources and activities to help teenagers improve self-confidence and develop positive self-image.,https://mindmattersmy.org/,Article,self-esteem|youth|confidence|wellbeing,supportive,young_adults,Mind Matters Network,English
55,Talking to Parents About Mental Health,Youth guide providing tips on how to initiate conversations about mental health with parents and caregivers.,https://mindmattersmy.org/,Article,communication|youth|family|support,supportive,young_adults,Mind Matters Network,English
56,Mindfulness for Malaysian Youth,Introduction to mindfulness practices specifically adapted for Malaysian teenagers and young adults.,https://mmha.org.my/,Article,mindfulness|youth|malaysia|meditation,calm,young_adults,MMHA,English
57,Breathing Exercises for Anxiety Relief,Quick and effective breathing techniques to manage anxiety and panic in the moment.,https://www.moh.gov.my/,Guide,breathing|anxiety|techniques|relief,calm,all,KKM,Malay
58,Journaling for Mental Health,Guide to therapeutic writing and journaling as a tool for processing emotions and improving mental health.,https://mindmattersmy.org/,Article,journaling|self-care|depression|coping,supportive,young_adults,Mind Matters Network,English
59,Physical Activity and Mental Health,Article explaining the connection between exercise physical activity and improved mental wellbeing.,https://www.moh.gov.my/,Article,exercise|wellness|mental-health|mood,informative,all,KKM,Malay
60,Building Resilience in Youth,Guide to developing coping skills emotional resilience and mental strength in young people.,https://mindmattersmy.org/,Article,resilience|youth|coping|skills,supportive,young_adults,Mind Matters Network,English
61,Sleep Problems in Adolescents,Article exploring the connection between sleep difficulties and mental health in teenagers with solutions.,https://www.moh.gov.my/,Article,sleep|youth|insomnia|mental-health,informative,young_adults,MOH Malaysia,English
62,Academic Pressure Management,Strategies for coping with educational stress and maintaining mental health during demanding academic periods.,https://mindmattersmy.org/,Article,stress|students|academic|coping,supportive,students,Mind Matters Network,English
63,Suicide Warning Signs Recognition,Critical information on recognizing warning signs of suicide and how to respond appropriately.,https://www.befrienders.org.my/,Article,suicide|prevention|crisis|warning-signs,urgent,all,Befrienders KL,English
64,Coping with Grief and Loss,Youth-focused guide to processing grief understanding loss and maintaining mental health during bereavement.,https://mmha.org.my/,Article,grief|loss|depression|coping,supportive,young_adults,MMHA,English
65,Mental Health Stigma Reduction,Article addressing stigma around mental illness and encouraging open conversations about mental health.,https://mmha.org.my/,Article,stigma|awareness|mental-health|education,informative,all,MMHA,English
66,Affordable Mental Health Services Malaysia,Comprehensive guide to finding low-cost and free mental health resources throughout Malaysia.,https://miasa.org.my/,Article,resources|malaysia|affordable|support,informative,all,MIASA,English
68,Self-Harm Support Resources,Information and support resources for individuals struggling with self-harm behaviors and urges.,https://miasa.org.my/,Article,self-harm|crisis|support|youth,urgent,young_adults,MIASA,English
69,Relationship Problems and Wellbeing,Article examining how relationship difficulties impact mental health with coping strategies and support.,https://relate.com.my/,Article,relationships|anxiety|stress|support,supportive,young_adults,Relate,English
70,LGBTQ+ Mental Health Support Malaysia,Mental health resources and support specifically for LGBTQ+ youth in Malaysia.,https://www.ptfmalaysia.org/,Article,lgbtq|depression|youth|malaysia,supportive,young_adults,PT Foundation,English
71,Progressive Muscle Relaxation Guide,Step-by-step guide to progressive muscle relaxation technique for reducing physical tension and anxiety.,https://www.anxietycanada.com/articles/progressive-muscle-relaxation/,Guide,relaxation|anxiety|stress|tension,calm,all,Anxiety Canada,English
72,Cognitive Behavioral Therapy Basics,Introduction to CBT principles and how they help manage anxiety depression and negative thinking patterns.,https://www.apa.org/ptsd-guideline/patients-and-families/cognitive-behavioral,Article,cbt|therapy|depression|anxiety,informative,all,APA,English
73,Sleep Hygiene Tips for Better Rest,Evidence-based strategies for improving sleep habits and creating optimal bedroom environment for rest.,https://www.sleepfoundation.org/sleep-hygiene,Article,sleep|insomnia|rest|habits,informative,all,Sleep Foundation,English
74,Dealing with Loneliness,Practical strategies for coping with feelings of loneliness and building meaningful social connections.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-overcome-loneliness,Article,loneliness|connection|depression|support,supportive,all,Mental Health Foundation,English
75,Body Scan Meditation (Audio),Guided body scan meditation for relaxation stress relief and developing mind-body awareness.,https://www.uclahealth.org/programs/marc/free-guided-meditations/guided-meditations,Audio,meditation|relaxation|mindfulness|stress,calm,all,UCLA Health,English
76,10-Minute Meditation for Beginners,Short guided meditation perfect for those new to mindfulness practice and stress reduction.,https://www.youtube.com/watch?v=U9YKY7fdwyg,Video,meditation|mindfulness|beginners|stress,calm,all,Goodful,English
77,Understanding Panic Attacks,Comprehensive explanation of panic attacks including symptoms triggers and effective coping strategies.,https://adaa.org/understanding-anxiety/panic-disorder,Article,panic|anxiety|symptoms|coping,informative,all,ADAA,English
78,Social Anxiety Survival Guide,Practical tips and strategies for managing social anxiety in everyday situations and social interactions.,https://www.anxietycanada.com/articles/social-anxiety-disorder/,Article,social-anxiety|coping|confidence|support,supportive,young_adults,Anxiety Canada,English
80,Self-Compassion Exercises,Guided exercises to develop self-compassion and reduce self-criticism for improved mental wellbeing.,https://self-compassion.org/category/exercises/,Guide,self-compassion|wellbeing|self-care|kindness,calm,all,Center for Self-Compassion,English
81,Anxiety Relief Podcast,Weekly podcast discussing anxiety management techniques coping strategies and mental health insights.,https://www.tenpercent.com/podcast,Audio,anxiety|podcast|coping|mindfulness,supportive,all,Ten Percent Happier,English
82,Depression: What You Need to Know,Clear explanation of depression types causes symptoms and available treatment options from experts.,https://www.nimh.nih.gov/health/publications/depression,Guide,depression|education|symptoms|treatment,informative,all,NIMH,English
83,Stress Management Workbook,Comprehensive workbook with exercises and activities for identifying and managing stress effectively.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Stress,Guide,stress|workbook|coping|exercises,supportive,all,CCI,English
84,Mindful Breathing Techniques Video,Video demonstrating various breathing techniques for immediate anxiety and stress relief.,https://www.youtube.com/watch?v=wfDTp2GogaQ,Video,breathing|anxiety|mindfulness|techniques,calm,all,Therapy in a Nutshell,English
85,Gratitude Journaling for Wellbeing,Guide to starting gratitude journaling practice to improve mood and mental health outlook.,https://positivepsychology.com/gratitude-journal/,Article,gratitude|journaling|wellbeing|positivity,supportive,all,Positive Psychology,English
86,Understanding Your Depression Podcast,Educational podcast helping listeners understand depression symptoms causes and recovery paths.,https://podcasts.apple.com/us/podcast/the-depression-files/id1449016572,Audio,depression|podcast|education|recovery,supportive,all,The Depression Files,English
87,Anxiety Management Techniques Video Series,Comprehensive video series teaching practical techniques for managing various anxiety symptoms.,https://www.youtube.com/playlist?list=PLb5NeGu8DZ_fTl1-UDNhbw0M3c84Ccqve,Video,anxiety|techniques|coping|education,informative,all,Kati Morton,English
90,Student Mental Health Guide,Comprehensive guide addressing common mental health challenges faced by university students.,https://www.studentminds.org.uk/lookingafteryourmentalhealth.html,Guide,students|mental-health|university|support,supportive,students,Student Minds,English
91,Overcoming Procrastination,Strategies to overcome procrastination reduce anxiety and improve productivity for students.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Procrastination,Article,procrastination|stress|students|productivity,supportive,students,CCI,English
92,Sleep Stories for Better Rest,Calming bedtime stories designed to help adults fall asleep and improve sleep quality.,https://www.calm.com/blog/sleep-stories,Audio,sleep|relaxation|insomnia|stories,calm,all,Calm,English
93,Dealing with Academic Stress Video,Video discussing strategies for managing academic pressure and maintaining mental health as a student.,https://www.youtube.com/watch?v=YVcZxOXJdLU,Video,stress|students|academic|coping,supportive,students,Psych Hub,English
94,Relationship Anxiety Explained,Article explaining relationship anxiety patterns causes and healthy coping mechanisms.,https://www.psychologytoday.com/us/basics/relationship-anxiety,Article,anxiety|relationships|coping|support,informative,young_adults,Psychology Today,English
95,Mindfulness for Stress Reduction,Eight-week mindfulness-based stress reduction program guide with weekly exercises and practices.,https://palousemindfulness.com/,Guide,mindfulness|stress|meditation|program,calm,all,Palouse Mindfulness,English
96,Beyond Blue Anxiety Fact Sheet,Australian resource providing comprehensive information about anxiety disorders and treatment options.,https://www.beyondblue.org.au/mental-health/anxiety,Article,anxiety|education|treatment|symptoms,informative,all,Beyond Blue,English
97,Depression Recovery Workbook,Self-help workbook with practical exercises for understanding and recovering from depression.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Depression,Guide,depression|recovery|workbook|self-help,supportive,all,CCI,English
98,Test Anxiety Reduction Strategies,Specific techniques to manage test and exam anxiety for improved academic performance.,https://www.anxietycanada.com/articles/test-anxiety/,Article,anxiety|students|exams|coping,supportive,students,Anxiety Canada,English
99,Healthy Boundaries Guide,Guide to establishing and maintaining healthy boundaries in relationships for better mental health.,https://www.therapistaid.com/therapy-guide/healthy-boundaries,Article,boundaries|relationships|self-care|wellbeing,supportive,all,Therapist Aid,English
100,Rejection Sensitive Dysphoria,Article explaining rejection sensitivity its connection to mental health and coping strategies.,https://www.additudemag.com/rejection-sensitive-dysphoria-adhd-emotional-dysregulation/,Article,rejection|anxiety|emotions|coping,informative,young_adults,ADDitude,English
101,Morning Anxiety Management,Strategies specifically for managing anxiety symptoms that are worse in the morning hours.,https://www.verywellmind.com/morning-anxiety-causes-and-treatments-4178643,Article,anxiety|morning|coping|strategies,supportive,all,Verywell Mind,English
102,Intrusive Thoughts Guide,Understanding intrusive thoughts their connection to anxiety and techniques to manage them effectively.,https://adaa.org/learn-from-us/from-the-experts/blog-posts/consumer/unwanted-intrusive-thoughts,Article,anxiety|thoughts|ocd|coping,informative,all,ADAA,English
103,Zoom Fatigue and Mental Health,Article addressing the mental health impact of video call fatigue and strategies to combat it.,https://www.psychiatry.org/news-room/apa-blogs/zoom-fatigue,Article,stress|digital-wellbeing|fatigue|coping,informative,all,APA,English
106,Imposter Syndrome Resources,Guide to understanding and overcoming imposter syndrome particularly common among students and young professionals.,https://www.verywellmind.com/imposter-syndrome-and-social-anxiety-disorder-4156469,Article,imposter-syndrome|anxiety|confidence|students,supportive,students,Verywell Mind,English
107,Seasonal Affective Disorder Guide,Information about seasonal depression including symptoms causes and effective treatment approaches.,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Article,depression|seasonal|treatment|symptoms,informative,all,NIMH,English
108,Assertiveness Training Workbook,Workbook teaching assertiveness skills to reduce anxiety and improve communication in relationships.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Assertiveness,Guide,assertiveness|communication|anxiety|confidence,supportive,all,CCI,English
109,Emotional Regulation Skills,Comprehensive guide to understanding and regulating difficult emotions for better mental health.,https://www.therapistaid.com/therapy-guide/dbt-emotion-regulation-skills,Article,emotions|regulation|coping|skills,informative,all,Therapist Aid,English
110,Perfectionism and Mental Health,Article exploring the connection between perfectionism anxiety depression and strategies for balance.,https://www.anxietycanada.com/articles/perfectionism/,Article,perfectionism|anxiety|stress|balance,informative,students,Anxiety Canada,English
111,Worry Time Technique,Evidence-based technique for managing excessive worrying by scheduling dedicated worry periods.,https://www.getselfhelp.co.uk/worries.htm,Article,worry|anxiety|techniques|coping,supportive,all,Get Self Help,English
112,Sleep Meditation Podcast,Regular podcast featuring guided sleep meditations and relaxation techniques for better rest.,https://www.sleepmeditationpodcast.com/,Audio,sleep|meditation|insomnia|relaxation,calm,all,Sleep Meditation Podcast,English
114,Digital Detox Guide,Practical guide to taking breaks from technology to reduce stress and improve mental wellbeing.,https://www.mentalhealth.org.uk/explore-mental-health/articles/digital-detox,Article,digital-wellbeing|stress|balance|technology,informative,young_adults,Mental Health Foundation,English
115,Coping with Change and Uncertainty,Strategies for managing anxiety during life transitions and periods of uncertainty.,https://www.psychologytoday.com/us/blog/getting-through-tough-times/202003/coping-uncertainty,Article,anxiety|change|uncertainty|coping,supportive,all,Psychology Today,English
116,Positive Affirmations Audio,Daily positive affirmations audio recording to improve self-esteem and challenge negative self-talk.,https://www.youtube.com/watch?v=8Tv5m0rFY3k,Audio,affirmations|self-esteem|positivity|confidence,calm,all,Jason Stephenson,English
120,Loving-Kindness Meditation Audio,Guided meditation practice cultivating compassion and kindness toward self and others to reduce stress.,https://www.tarabrach.com/meditation-lovingkindness/,Audio,meditation|self-compassion|kindness|stress,calm,all,Tara Brach,English
121,Anxiety in the Workplace,Strategies for managing workplace anxiety and maintaining mental health in professional settings.,https://adaa.org/workplace-stress-anxiety,Article,anxiety|workplace|stress|professional,informative,young_adults,ADAA,English
122,Financial Stress Management,Guide to coping with financial anxiety and stress particularly relevant for students and young adults.,https://www.mentalhealth.org.uk/explore-mental-health/articles/money-and-mental-health,Article,stress|financial|anxiety|coping,supportive,young_adults,Mental Health Foundation,English
123,Post-Exam Depression Guide,Understanding and managing the emotional slump that can occur after major exams or academic milestones.,https://www.studentminds.org.uk/post-exam-stress.html,Article,depression|students|exams|recovery,supportive,students,Student Minds,English
127,Body Positivity Resources,Resources for developing positive body image and challenging harmful appearance-based thoughts.,https://www.nationaleatingdisorders.org/body-image,Article,body-image|self-esteem|eating|youth,supportive,young_adults,NEDA,English
128,Homesickness Coping Guide,Strategies for managing homesickness and adjusting to new environments particularly for students.,https://www.studentminds.org.uk/copingwithhomesickness.html,Article,homesickness|adjustment|students|coping,supportive,students,Student Minds,English
129,Time Management for Mental Health,Guide to effective time management reducing stress and preventing burnout in academic settings.,https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Time-Management,Guide,time-management|stress|students|productivity,supportive,students,CCI,English
130,Dealing with Disappointment,Strategies for processing disappointment and failure while maintaining mental health and resilience.,https://www.psychologytoday.com/us/blog/the-athletes-way/201408/5-science-based-ways-bounce-back-disappointment,Article,disappointment|resilience|coping|emotions,supportive,all,Psychology Today,English
131,Malaysian Youth Mental Health Report,UNICEF research report on mental health challenges facing Malaysian youth with recommendations.,https://www.unicef.org/malaysia/reports/malaysian-youth-mental-health-index-2023,Article,research|youth|malaysia|mental-health,informative,young_adults,UNICEF Malaysia,English
132,Anger Management Techniques,Evidence-based techniques for understanding and managing anger to improve emotional regulation.,https://www.apa.org/topics/anger/control,Article,anger|emotions|regulation|coping,informative,all,APA,English
133,Comparison and Social Media,Article about the mental health effects of social comparison on social media and strategies to cope.,https://www.verywellmind.com/social-comparison-and-depression-1067722,Article,social-media|comparison|anxiety|self-esteem,informative,young_adults,Verywell Mind,English
134,Visualization for Stress Relief Video,Guided visualization exercise video for deep relaxation and stress reduction.,https://www.youtube.com/watch?v=qYnA9wWFHVk,Video,visualization|relaxation|stress|meditation,calm,all,Michael Sealey,English
135,Performance Anxiety Guide,Understanding and managing performance anxiety in academic artistic and athletic contexts.,https://adaa.org/understanding-anxiety/social-anxiety-disorder/performance-anxiety,Article,anxiety|performance|students|coping,informative,young_adults,ADAA,English
137,Night Anxiety Management,Specific strategies for managing anxiety that worsens at night and interfering with sleep.,https://www.sleepfoundation.org/mental-health/anxiety-and-sleep,Article,anxiety|sleep|night|coping,informative,all,Sleep Foundation,English
139,Rain Sounds for Sleep,Hour-long rain sounds audio for relaxation meditation and improved sleep quality.,https://www.youtube.com/watch?v=mPZkdNFkNps,Audio,sleep|relaxation|sounds|nature,calm,all,Relaxing White Noise,English
140,Validation and Emotional Support,Guide to validation techniques for supporting others and self through difficult emotions.,https://www.therapistaid.com/therapy-guide/validation,Article,support|communication|emotions|empathy,supportive,all,Therapist Aid,English
141,Habit Tracking for Mental Health,Using habit tracking to build consistent self-care routines and improve mental wellbeing.,https://www.verywellmind.com/how-to-build-better-habits-4588292,Article,habits|self-care|routines|wellbeing,supportive,all,Verywell Mind,English
143,Zoom Anxiety Social Tips,Practical tips for managing social anxiety during video calls and online interactions.,https://www.verywellmind.com/zoom-anxiety-5084888,Article,anxiety|social|video-calls|coping,supportive,young_adults,Verywell Mind,English
145,Neurodiversity and Mental Health,Understanding the intersection of neurodiversity ADHD autism and mental health challenges.,https://www.additudemag.com/neurodiversity-mental-health/,Article,neurodiversity|adhd|mental-health|support,informative,young_adults,ADDitude,English
146,Befrienders Penang Branch,Penang-based emotional support helpline providing crisis intervention and suicide prevention services.,https://www.befrienders.org.my/,Helpline,crisis|suicide|penang|malaysia,urgent,all,Befrienders Penang,English
147,Walking Meditation Guide,Instructions for practicing walking meditation to reduce anxiety and increase mindfulness.,https://www.mindful.org/how-to-practice-walking-meditation/,Article,meditation|mindfulness|walking|anxiety,calm,all,Mindful,English
149,Procrastination and Anxiety Connection,Understanding the relationship between procrastination and anxiety with breaking-the-cycle strategies.,https://www.anxietycanada.com/articles/procrastination/,Article,procrastination|anxiety|students|coping,informative,students,Anxiety Canada,English
150,4-7-8 Breathing Technique Video,Quick tutorial on the 4-7-8 breathing technique for immediate anxiety and stress relief.,https://www.youtube.com/watch?v=gz4G31LGyog,Video,breathing|anxiety|techniques|quick-relief,calm,all,Dr. Andrew Weil,English
152,Executive Dysfunction Guide,Understanding and managing executive dysfunction related to ADHD depression and anxiety.,https://www.additudemag.com/executive-function-disorder-adhd/,Article,executive-function|adhd|coping|strategies,informative,young_adults,ADDitude,English
153,Befrienders Johor Bahru Branch,JB-based emotional support and suicide prevention helpline serving southern Malaysia region.,https://www.befrienders.org.my/,Helpline,crisis|suicide|johor|malaysia,urgent,all,Befrienders JB,English
156,Nature Sounds Relaxation,Collection of nature sound recordings for meditation relaxation and improved sleep.,https://www.calm.com/blog/nature-sounds,Audio,relaxation|nature|sleep|meditation,calm,all,Calm,English
159,Study Burnout Prevention,Strategies for preventing and recovering from academic burnout in students.,https://www.studentminds.org.uk/student-burnout.html,Article,burnout|students|prevention|recovery,supportive,students,Student Minds,English
160,Trauma-Informed Self-Care,Guide to self-care practices that are sensitive to trauma history and promote healing.,https://www.therapistaid.com/therapy-guide/trauma-informed-care,Article,trauma|self-care|healing|support,supportive,all,Therapist Aid,English
161,Befrienders Ipoh Branch,Ipoh-based emotional support helpline providing confidential listening services in Perak.,https://www.befrienders.org.my/,Helpline,crisis|suicide|ipoh|malaysia,urgent,all,Befrienders Ipoh,English
163,Setting Healthy Goals,Guide to setting realistic achievable mental health goals without perfectionism.,https://www.psychologytoday.com/us/blog/the-moment-youth/201803/setting-healthy-goals,Article,goals|motivation|perfectionism|wellbeing,supportive,all,Psychology Today,English
164,White Noise for Focus,Hour-long white noise audio to improve concentration reduce distractions and manage stress.,https://www.youtube.com/watch?v=nMfPqeZjc2c,Audio,focus|concentration|stress|studying,calm,students,Relaxing White Noise,English
166,Boundary Scripts and Examples,Practical scripts and examples for setting boundaries in various relationship contexts.,https://www.therapistaid.com/therapy-article/boundaries-psychoeducation,Article,boundaries|communication|scripts|relationships,supportive,all,Therapist Aid,English
167,Yoga for Anxiety Video,Gentle yoga practice specifically designed to reduce anxiety and promote relaxation.,https://www.youtube.com/watch?v=hJbRpHZr_d0,Video,yoga|anxiety|relaxation|exercise,calm,all,Yoga With Adriene,English
168,Growth Mindset Resources,Understanding and developing growth mindset to improve resilience and reduce anxiety about failure.,https://www.understood.org/en/articles/growth-mindset,Article,mindset|resilience|growth|students,supportive,students,Understood,English
170,Compassion Fatigue Guide,Understanding and preventing compassion fatigue particularly relevant for caregivers and helpers.,https://www.psychologytoday.com/us/blog/high-octane-women/201407/are-you-suffering-compassion-fatigue,Article,compassion-fatigue|burnout|caregiving|self-care,informative,all,Psychology Today,English
171,Binaural Beats for Relaxation,Audio using binaural beats technology to promote relaxation reduce anxiety and improve focus.,https://www.youtube.com/watch?v=WPni755-Krg,Audio,relaxation|anxiety|focus|binaural,calm,all,Meditative Mind,English
173,Grounding 5-4-3-2-1 Technique,Simple grounding technique using five senses to manage anxiety and panic attacks.,https://www.urmc.rochester.edu/behavioral-health-partners/bhp-blog/april-2018/5-4-3-2-1-coping-technique-for-anxiety.aspx,Article,grounding|anxiety|panic|techniques,calm,all,URMC,English
174,Sunday Scaries Management,Strategies for managing anticipatory anxiety about the upcoming week particularly on Sundays.,https://www.verywellmind.com/how-to-beat-the-sunday-scaries-4783870,Article,anxiety|anticipation|weekend|coping,supportive,young_adults,Verywell Mind,English
175,Befrienders Volunteer Training,Information about becoming a trained befriender volunteer to support mental health in Malaysia.,https://www.befrienders.org.my/,Article,volunteering|training|malaysia|support,informative,all,Befrienders KL,English
176,Stretching for Stress Relief Video,Gentle stretching routine to release physical tension and reduce stress in the body.,https://www.youtube.com/watch?v=g_tea8ZNk5A,Video,stretching|stress|tension|relaxation,calm,all,Yoga With Bird,English
