ID,url,title,description,lang,tags,tone,audience,source,relevance
25,https://www.mentalhealth.org.uk/explore-mental-health/publications/what-truth-inquiry-about-truth-and-lying-dementia-care,What is truth? An inquiry about truth and lying in dementia care,"The Mental Health Foundation has led an inquiry into our understanding of some of the most challenging aspects of living with dementia, in which people with dementia experience a reality or set of beliefs different from those around them.",en,mental-health,neutral,general-public,Mental Health Foundation,2
26,https://www.mentalhealth.org.uk/explore-mental-health/publications/mhf-general-election-manifesto-2019,Mental Health Foundation: General Election manifesto 2019,"Explore our policy calls for the 2024 UK general election Mental health should be valued and understood as a key that allows us to unlock a wide range of health, social and economic benefits.",en,mental-health,neutral,general-public,Mental Health Foundation,2
27,https://www.mentalhealth.org.uk/explore-mental-health/publications/poverty-and-mental-health,Poverty and mental health,A review to inform the Joseph Rowntree Foundation's Anti-Poverty Strategy Poverty increases the risk of mental health problems and can be both a causal factor and a consequence of mental ill health.,en,mental-health,serious,general-public,Mental Health Foundation,2
28,https://www.mentalhealth.org.uk/explore-mental-health/blogs/negative-mental-health-effects-rising-cost-living-should-spur-government-action,Negative mental health effects of rising cost-of-living should spur Government action,"By Michael Hough, Policy Officer at Mental Health Foundation, and Rachelle Earwaker, Senior Economist at Joseph Rowntree Foundation As we move into the summer months and parliamentary recess, the ongoingcost-of-livingcrisis shows no signs of receding.",en,mental-health,neutral,general-public,Mental Health Foundation,2
29,https://www.mentalhealth.org.uk/explore-mental-health/blogs/why-community-important-our-mental-health-and-wellbeing,Why is community important for our mental health and wellbeing?,"Location:England, Northern Ireland, Wales, Scotland We're proud to be the home of Mental Health Awareness Week and gladly accept the responsibility of choosing a theme and running the campaign every year.",en,mental-health,supportive,general-public,Mental Health Foundation,2
30,https://www.mentalhealth.org.uk/explore-mental-health/publications/parc-prison-self-management-impact-report,Parc Prison Peer-led Self-Management Project Impact Report,"Location:Wales This self-management programme ran between 2013 to 2016 with courses on mental health for inmates of the UK prison environment for the first time at HM Prison Parc, Bridgend in South Wales.",en,mental-health,neutral,general-public,Mental Health Foundation,2
31,https://www.mentalhealth.org.uk/explore-mental-health/body-image-and-mental-health/image-editing-apps-and-mental-health,Image-editing apps and mental health,"Our mental health is largely shaped by the circumstances in which we are born, grow, and age in, and, in turn, these circumstances are often heavily influenced by the commercial environment in which we live.",en,mental-health,neutral,general-public,Mental Health Foundation,2
32,https://www.mentalhealth.org.uk/explore-mental-health/blogs/looking-after-my-mental-health-one-move-time-bethans-story,Looking after my mental health one move at a time: Bethan's story,"Location:England Last month, Bethan Davies completed the London Marathon for the Mental Health Foundation in memory of her friend Jon, known by his mates as Gitts, who she lost to suicide last year.",en,mental-health,serious,general-public,Mental Health Foundation,2
33,https://www.mentalhealth.org.uk/explore-mental-health/blogs/advice-parents-worried-about-issues-raised-netflixs-show-adolescence,Advice for parents worried about issues raised in Netflix's show Adolescence,"Location:United Kingdom, England, Northern Ireland, Wales, Scotland Stephen Graham and Jack Thorne’s Netflix drama Adolescence has captured the country’s attention, both for the quality of the drama and the light it shines on the issues facing young people today, which can affect their mental health in new and complex ways.",en,mental-health,supportive,general-public,Mental Health Foundation,2
34,https://www.mentalhealth.org.uk/explore-mental-health/statistics/cost-diagnosed-mental-health-conditions-statistics,The cost of diagnosed mental health conditions: statistics,"Diagnosed mental health conditions are a growing public health concern - not just in the UK but around the world - associated with large direct costs for individuals and society, such as the provision of health and social care, and indirect costs, including lost employment.",en,mental-health,serious,general-public,Mental Health Foundation,2
35,https://www.mentalhealth.org.uk/explore-mental-health/blogs/parliamentary-review-health-and-social-care-wales,A new health policy landscape for Wales?,"Location:Wales The community and family-orientated approaches outlined in the independent review ofHealth and Social Care in Walesprovide a great sense of optimism: that individuals will stop being viewed in isolation, with a community public mental health approach underpinning the recommendations.",en,family|mental-health,supportive,parents,Mental Health Foundation,2
36,https://www.mentalhealth.org.uk/explore-mental-health/blogs/why-relationships-are-so-important-children-and-young-people,Why relationships are so important for children and young people,"By Paula Lavis, Co-ordinator of the Children and Young People's Mental Health Coalition As social beings, the capacity to form and maintain relationships is essential to us and how we function within society.",en,mental-health,neutral,general-public,Mental Health Foundation,2
37,https://www.mentalhealth.org.uk/explore-mental-health/blogs/empowering-children-and-young-people-use-internet-mentally-healthy-way,Empowering children and young people to use the internet in a mentally healthy way,"The Mental Health Foundation welcomes the BBC’s development andlaunch of 'Own It', a new app that we believe can contribute significantly towards empowering children and young people to use the internet in a mentally healthy way.",en,mental-health,supportive,general-public,Mental Health Foundation,2
38,https://www.mentalhealth.org.uk/explore-mental-health/publications/mental-health-asylum-seekers-and-refugees-uk,The mental health of asylum seekers and refugees in the UK,"This report presents evidence on the circumstances which asylum seekers and refugees in the UK can face, and how these experiences can harm their mental health and even lead to suicidal feelings and actions.",en,mental-health,serious,general-public,Mental Health Foundation,2
39,https://www.mentalhealth.org.uk/explore-mental-health/articles/how-pick-yourself-when-things-get-tough-15-tips-men,How to pick yourself up when things get tough,"We asked men on Instagram ‘what do you do to look after your mental health when things get tough?' Are there any tips that aren’t on the list that help you? If yes, get in touch and tell us about them.",en,mental-health,neutral,general-public,Mental Health Foundation,2
40,https://www.mentalhealth.org.uk/explore-mental-health/publications/developing-peer-support-long-term-conditions-final-report,Developing Peer Support for Long Term Conditions: Final Report,"Location:Scotland This is the final report of the Developing Peer Support for Long Term Conditions project, which was funded by the Long Term Conditions Alliance Scotland (now known as the ALLIANCE) through their Self Management Fund 2011/2012.",en,general,neutral,general-public,Mental Health Foundation,1
41,https://www.mentalhealth.org.uk/explore-mental-health/blogs/i-couldnt-manage-my-mental-health-without-exercising-christinas-story,I couldn't manage my mental health without exercising: Christina's story,"Location:England Christina talks about how living with Type 1 Diabetes, and seven other auto-immune conditions, makes exercise difficult – but how essential it is to support her mental and physical health.",en,general,neutral,general-public,Mental Health Foundation,1
42,https://www.mentalhealth.org.uk/explore-mental-health/blogs/boost-your-childs-mental-health-adventure,Boost your child’s mental health with adventure,"Location:England, Scotland, Wales, Northern Ireland New research by AdventureMinddetails the benefits of adventure for children and the opportunities for learning and development that it can bring, supporting children and young people to live healthy, fulfilling lives.",en,general,supportive,general-public,Mental Health Foundation,1
